county_name,year,median_income,median_home,median_rent,state_fips,county_fips,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,mortgage_rate,fed_rate,cpi,inflation_rate,housing_burden,hud_burden,real_income_index,macro_housing_pressure
Chautauqua County,2010,40639,79600,581,36,013,139750,589,592,710,916,1000,4.6905833333333335,0.175,218.07616666666667,1.6365695501278532,0.17155933955067793,0.20965082802234308,18635.23218569659,0.8047133787740841
Chautauqua County,2011,41432,80900,596,36,013,139750,584,587,704,908,992,4.4558333333333335,0.10166666666666667,224.923,3.1396522774535196,0.17262019694921799,0.2039003668661904,18420.526135610853,0.7691668275728905
Chautauqua County,2012,41975,82100,606,36,013,139750,595,598,717,925,1010,3.6559166666666667,0.14,229.58608333333333,2.0731909735035137,0.1732459797498511,0.2049791542584872,18282.90260044072,0.6333728648004765
Chautauqua County,2013,42429,83500,609,36,013,134905,511,515,671,952,977,3.9819166666666668,0.1075,232.95175,1.4659715509759863,0.17224068443753093,0.1897758608498904,18213.642953959352,0.6858480520398784
Chautauqua County,2014,42720,84100,611,36,013,134905,485,489,637,904,928,4.172833333333333,0.08916666666666667,236.715,1.6154632879984865,0.17162921348314605,0.1789325842696629,18047.01856663076,0.7161801029962546
Chautauqua County,2015,42993,84500,612,36,013,134905,516,519,677,961,986,3.849,0.1325,237.00175000000002,0.12113723253701636,0.1708185053380783,0.18896099365012908,18140.37238121659,0.6574804270462634
Chautauqua County,2016,43211,85500,619,36,013,134905,536,540,674,902,958,3.6477083333333336,0.395,240.00541666666666,1.2673605433996427,0.17190067343963342,0.1871745620328157,18004.176989061012,0.6270435190113629
Chautauqua County,2017,44304,85800,631,36,013,134905,548,551,704,937,1036,3.991,1.0016666666666667,245.121,2.1314449500271726,0.1709100758396533,0.19068255687973998,18074.338795941596,0.6821021126760564
Chautauqua County,2018,45332,86300,649,36,013,134905,554,557,697,910,1040,4.539041666666667,1.8316666666666666,251.0995,2.438999514525486,0.17179917056384011,0.184505426630195,18053.401141778457,0.7798035934880438
Chautauqua County,2019,46820,88000,659,36,013,134905,555,567,700,908,1050,3.93375,2.158333333333333,255.65258333333333,1.8132586219141489,0.16890217855617257,0.1794105083297736,18313.916248971997,0.6644189448953438
